marca,clase,servicio,cantidad
CHEVROLET,Automóvil,PARTICULAR,46
CHEVROLET,Camioneta,PARTICULAR,29
MAZDA,Camioneta,PARTICULAR,23
CHEVROLET,Jeep,PARTICULAR,12
SUZUKI,Motocicleta,PARTICULAR,12
VOLKSWAGEN,Automóvil,PARTICULAR,11
RENAULT,Automóvil,PARTICULAR,9
TOYOTA,Automóvil,PARTICULAR,9
CHEVROLET,Furgoneta P,PARTICULAR,8
FORD,Jeep,PARTICULAR,8
KIA,Automóvil,PARTICULAR,7
PEUGEOT,Automóvil,PARTICULAR,7
MAZDA,Automóvil,PARTICULAR,6
TOYOTA,Jeep,PARTICULAR,6
HYUNDAI,Automóvil,PARTICULAR,6
FORD,Camioneta,PARTICULAR,6
HYUNDAI,Jeep,PARTICULAR,5
TOYOTA,Camioneta,PARTICULAR,4
Otras Marcas,Motocicleta,PARTICULAR,4
MITSUBISHI,Jeep,PARTICULAR,3
MOTOR UNO,Motocicleta,PARTICULAR,3
HONDA,Motocicleta,PARTICULAR,3
SHINERAY,Motocicleta,PARTICULAR,3
FORD,Automóvil,PARTICULAR,3
HYUNDAI,Automóvil,ALQUILER,3
NISSAN,Automóvil,PARTICULAR,3
LADA,Automóvil,PARTICULAR,2
HYUNDAI,Furgoneta P,PARTICULAR,2
DAIHATSU,Jeep,PARTICULAR,2
FIAT,Automóvil,PARTICULAR,2
FORD,Furgoneta P,PARTICULAR,2
DAYTONA,Motocicleta,PARTICULAR,2
CHEVROLET,Automóvil,ALQUILER,2
DUCAR,Motocicleta,PARTICULAR,2
YAMAHA,Motocicleta,PARTICULAR,2
SKODA,Automóvil,PARTICULAR,2
HYUNDAI,Furgoneta C,PARTICULAR,1
LONGJIA,Motocicleta,PARTICULAR,1
Otras Marcas,Furgoneta C,PARTICULAR,1
MAZDA,Furgoneta P,PARTICULAR,1
FIAT,Camioneta,PARTICULAR,1
HONDA,Furgoneta P,PARTICULAR,1
KIA,Automóvil,ALQUILER,1
FIAT,Furgoneta P,PARTICULAR,1
DAEWOO,Furgoneta C,PARTICULAR,1
NISSAN,Jeep,PARTICULAR,1
MITSUBISHI,Automóvil,PARTICULAR,1
MITSUBISHI,Furgoneta P,PARTICULAR,1
BMW,Automóvil,PARTICULAR,1
GALARDI,Motocicleta,PARTICULAR,1
NISSAN,Camioneta,PARTICULAR,1
KIA,Furgoneta P,PARTICULAR,1
TOYOTA,Furgoneta C,PARTICULAR,1
JIANSHE,Motocicleta,PARTICULAR,1
TEKNO,Motocicleta,PARTICULAR,1
KIA,Jeep,PARTICULAR,1
SUZUKI,Jeep,PARTICULAR,1
TOYOTA,Furgoneta P,PARTICULAR,1
ORO MOTO,Motocicleta,PARTICULAR,1
QINGQI,Motocicleta,PARTICULAR,1
JEEP,Jeep,PARTICULAR,1
LONCIN,Motocicleta,PARTICULAR,1
NISSAN,Automóvil,ALQUILER,1
RANGER,Motocicleta,PARTICULAR,1
VOLKSWAGEN,Camioneta,PARTICULAR,1
KIA,Furgoneta C,PARTICULAR,1
Otras Marcas,Autobus,PARTICULAR,1
